213.7,0.084
211.2333333,0.14
207.6666667,0.29
209.6333333,0.23
209.7333333,0.22
209.0666667,0.27
216.9,2.21
215.0333333,0.97
212.3,0.041
209.6666667,0.16
208.9333333,0.14
210.5,0.24
211.2666667,0.28
213.1,0.073
212.2666667,0.43
210.9333333,1.6
214.5333333,0.98
209.9,0.068
210.0666667,0.2
211.1333333,0.1
215.7666667,0.054
206.5666667,0.22
212.2,0.1
213.8333333,0.079
211.0666667,1.43
210.7666667,0.34
210.1,0.02
214.4666667,0.12
206.8,0.084
207.4666667,0.17
211.8,0.23
212.0,0.048
205.0,0.038
217.4333333,4.97
211.7666667,1.33
213.8333333,0.081
220.0333333,0.15
211.4,0.27
209.8,0.049
220.1666667,0.14
215.2333333,0.014
211.1333333,0.045
214.7,2.88
213.0666667,1.14
212.9,0.12
218.3666667,0.23
215.6333333,0.047
213.0,0.043
219.4,0.34
215.0,0.054
215.2666667,0.07
214.9333333,3.28
212.4333333,1.51
207.6333333,0.11
210.9,0.096
146.6666667,0.059
105.6333333,0.045
165.5333333,0.71
193.0333333,0.049
183.0333333,0.04
209.4,6.56
218.7666667,3.06
194.9666667,0.16
216.5666667,0.038
206.2333333,0.025
192.6333333,0.067
220.1666667,0.21
211.2,0.038
216.3333333,0.013
217.5333333,4.04
220.5666667,2.06
213.6333333,0.076
215.8666667,0.17
217.8333333,0.068
214.2666667,0.035
216.7333333,0.17
213.0,0.058
209.6666667,0.017
221.3,6.58
219.3,1.37
210.3,0.16
220.8666667,0.24
201.1333333,0.18
199.4333333,0.3
207.4,0.29
206.7,0.34
205.7,0.24
218.3,0.22
208.6,0.24
213.3333333,0.37
224.2,0.16
225.9666667,0.12
228.3,0.16
226.3333333,0.63
224.0,0.16
226.3,0.16
192.6333333,2.08
211.3,0.49
211.9,0.64
223.2,0.86
215.0,0.26
213.1333333,0.23
195.1666667,3.21
192.8,1.26
216.0666667,1.11
166.3,9.05
212.1333333,4.01
208.3666667,4.27
214.7,0.53
221.5,0.56
221.9333333,0.36
217.8333333,0.26
222.3666667,0.3
222.9666667,0.43
218.2666667,0.65
213.1,0.49
224.6666667,0.79
221.1666667,0.47
222.4666667,0.38
215.8333333,0.31
219.4,0.35
215.9,0.29
219.1,0.33
227.4,0.39
219.1333333,0.36
224.2,0.51
224.8666667,0.76
225.2666667,0.41
222.9,0.29
228.1333333,0.99
227.7666667,0.41
236.0,0.52
211.5,1.42
224.5333333,0.77
221.8,1.13
222.9333333,0.53
224.9,0.32
226.4666667,0.31
226.8,0.52
228.5333333,0.51
230.5666667,0.59
224.9666667,0.54
229.9666667,0.64
235.0333333,0.97
225.7,0.7
225.2666667,0.3
