213.3333333,0.37
147.9333333,9.78
221.0333333,0.085
225.2666667,0.3
212.8666667,0.15
217.8,0.029
231.5666667,0.87
226.1,0.74
213.2,0.32
221.5666667,1.7
230.6,0.06
199.2333333,1.0
229.6666667,0.25
222.1666667,0.09
218.0666667,0.04
224.6333333,0.07
221.8,0.21
221.4333333,0.29
223.7666667,0.043
207.4333333,0.2
217.9,0.27
201.5333333,4.73
222.9666667,0.43
210.8333333,10.7
207.0666667,0.085
209.6666667,0.017
226.7333333,0.013
181.1333333,0.64
216.1666667,0.064
212.1666667,0.13
214.3,0.51
232.8333333,0.016
209.7333333,0.22
217.0,1.53
207.4666667,0.17
213.8333333,0.079
139.4,9.17
217.2333333,1.83
218.0,0.2
217.5666667,0.04
211.9,0.64
215.1333333,2.82
230.6333333,0.12
201.5,1.33
166.5666667,40.0
209.0666667,0.27
221.4,0.1
194.8666667,9.2
147.4666667,1.03
206.2333333,0.025
229.0,0.6
226.3333333,0.21
186.1333333,4.09
219.1666667,5.8
221.6666667,0.14
199.4333333,0.3
220.7666667,0.76
